query_index,cf_id,gower_distance
3852,cf_1,0.18284738063812256
3852,cf_2,0.12500004470348358
3852,cf_3,0.09008889645338058
5367,cf_1,0.021301185712218285
5367,cf_2,0.10369881242513657
5367,cf_3,0.125
8757,cf_1,0.05018294230103493
8757,cf_2,0.19981712102890015
8757,cf_3,0.009832421317696571
15210,cf_1,0.045555952936410904
15210,cf_2,0.2500000298023224
15210,cf_3,0.07944408804178238
18517,cf_1,0.13506054878234863
18517,cf_2,0.25
18517,cf_3,0.06524557620286942
22995,cf_1,0.1250000298023224
22995,cf_2,0.1874789148569107
22995,cf_3,0.19782906770706177
26527,cf_1,0.2499999850988388
26527,cf_2,0.19048888981342316
26527,cf_3,0.09642735868692398
26993,cf_1,0.0427149161696434
26993,cf_2,0.25
26993,cf_3,0.2499999701976776
37216,cf_1,0.1249999925494194
37216,cf_2,0.25
37216,cf_3,0.09375
